XEROX,560117,152N11662,"cbl,scsi,break DocuColor 8000 Digital Press",22441.48,21992.76,21768.08,21544.05,21319.37,,
XEROX,560118,152N11663,"cbl,utb,usb a-b DocuColor 8000 Digital Press",14254.64,13969.34,13827.02,13684.69,13541.71,,
XEROX,560119,152N11664,"cbl,pwr cord,us DocuColor 8000 Digital Press",15630.43,15318.11,15161.29,15005.13,14848.97,,
XEROX,560120,152N11665,"cbl,rib,dvd-rom DocuColor 8000 Digital Press",15357.64,15050.59,14897.07,14743.55,14590.02,,
XEROX,560121,152N11666,"pwr/rst/speaker DocuColor 8000 Digital Press",18749,18374.09,18186.3,17999.17,17811.38,,
XEROX,560122,152N11688,"CBL, RIBBON DC252",18312.81,17946.46,17763.29,17580.11,17396.94,,
XEROX,560123,152N11689,"SPKER W BRACKET DC252",39063.55,38282.09,37891.36,37501.29,37110.57,,
XEROX,560124,152N11704,"CBL INTRFACE DocuColor 8000 Digital Press",57627.39,56474.98,55898.44,55322.56,54746.02,,
XEROX,560125,152N11705,"power harness WorkCentre 4150 (OSG)",6720.78,6586.36,6519.16,6451.95,6384.74,,
XEROX,560126,152N11706,"йюаекэ WorkCentre 4150 (OSG)",4836.98,4740.13,4692.03,4643.27,4595.17,,
XEROX,560127,152N11708,"harness fuser WorkCentre 4150 (OSG)",4783.61,4688.07,4639.97,4592.53,4544.43,,
XEROX,560128,152N11709,"ac harness fus WorkCentre 4150 (OSG)",1478.57,1448.92,1434.43,1419.27,1404.77,,
XEROX,560129,152N11710,"harness dup WorkCentre 4150 (OSG)",1713.8,1679.54,1662.4,1645.27,1628.14,,
XEROX,560130,152N11711,"ькеит оевюрмни окюрш ондюрвхйю WorkCentre 4150 (OSG)",2692.92,2638.89,2611.88,2585.52,2558.51,,
XEROX,560131,152N11712,"cbf harn ope ky WorkCentre 4150 (OSG)",1240.05,1215.01,1203.15,1190.63,1178.11,,
XEROX,560132,152N11713,"cbf harn ope WorkCentre 4150 (OSG)",905.33,887.54,878.31,869.09,859.86,,
XEROX,560133,152N11714,"CBF HARNESS-SCF WorkCentre 4150 (OSG)",3882.9,3805.15,3766.27,3727.4,3688.52,,
XEROX,560134,152N11715,"cbf harness cov WorkCentre 4150 (OSG)",909.28,890.83,882.27,873.04,863.82,,
XEROX,560135,152N11716,"harness scan WorkCentre 4150 (OSG)",1920.03,1881.82,1862.71,1842.94,1823.84,,
XEROX,560136,152N11717,"йюаекэ WorkCentre 4150 (OSG)",1718.41,1684.15,1667.02,1649.89,1632.75,,
XEROX,560137,152N11718,"BIAS LEAD 721 (obsidian)",3106.71,3044.78,3013.81,2982.18,2951.21,,
XEROX,560138,152N11722,"CBL IDE HDD CD WCP4110",11605.21,11373.27,11257.31,11140.68,11024.71,,
XEROX,560139,152N11731,"ькеит феярйнцн дхяйю WorkCentre 4150 (OSG)",6275.36,6150.17,6086.92,6024.32,5961.73,,
XEROX,560140,152N11732,"йюаекэ DocuColor 250 (Office)",4591.87,4500.29,4454.16,4408.04,4362.58,,
XEROX,560141,152N11735,"VAC.FAN3 CABLE 5355",9415.68,9227.24,9133.01,9038.79,8945.23,,
XEROX,560142,152N11736,"MAIN.U/D CABLE 5355",9415.68,9227.24,9133.01,9038.79,8945.23,,
XEROX,560143,152N11746,"main rfc harn 721 (obsidian)",104678.78,102585.46,101538.47,100491.47,99445.14,,
XEROX,560144,152N11763,"йюаекэ WC4250S",1833.72,1796.82,1779.03,1760.58,1742.13,,
XEROX,560145,152N11764,"йюаекэ сгкю мняхрекъ WC4250S",4144.48,4061.46,4019.95,3978.44,3937.59,,
XEROX,560146,152N11765,"HARNESS-SCF MAI WC4250S",4122.08,4039.72,3998.21,3957.35,3915.84,,
XEROX,560147,152N11766,"фцср опнбнднб тэчгепю WC4250S",3845.34,3768.25,3730.03,3691.82,3652.94,,
XEROX,560148,152N11767,"HARNESS DUPLEX WC4250S",3744.53,3669.41,3632.52,3594.96,3557.4,,
XEROX,560149,152N11768,"HARNESS SCAN IF WC4250S",3875.65,3797.9,3759.68,3720.81,3681.93,,
XEROX,560150,152N11782,"HARNESS SCAN-SN WC4250S",712.93,698.43,691.85,684.6,677.35,,
XEROX,560151,152N11783,"йюаекэ б яанпе WC4250S",6949.42,6810.39,6741.21,6671.36,6602.18,,
XEROX,560152,152N11789,"CBF HARNESS 220 WorkCentre 3119",791.34,775.53,767.62,759.71,751.8,,
XEROX,560153,152N11790,"CBF HARNESS FUS WorkCentre 3119",623.32,610.8,604.87,598.28,592.35,,
XEROX,560154,152N11795,"CBL VIDEO MDR XEColor1000",127889.85,125332,124053.08,122774.15,121495.23,,
XEROX,560155,152N11796,"RS232C CABLE 721 (obsidian)",19298.52,18912.41,18719.35,18526.29,18333.89,,
XEROX,560156,152N11797,"I/F CABLE 721 (obsidian)",55240.2,54135.22,53583.07,53030.91,52478.09,,
XEROX,560157,152N11798,"HARNESS,ASP 8142 (KIBO)",6716.83,6582.41,6515.2,6448,6380.79,,
XEROX,560158,152N11799,"HARNESS,PANEL C 8142 (KIBO)",28639.75,28067.16,27780.54,27493.92,27207.96,,
XEROX,560159,152N11800,"HARNESS,ASP 8142 (KIBO)",2089.37,2047.86,2026.78,2005.69,1984.61,,
XEROX,560160,152N11801,"HARNESS,RELAY 8142 (KIBO)",28639.75,28067.16,27780.54,27493.92,27207.96,,
XEROX,560161,152N11802,"HARNESS,ASP 8142 (KIBO)",7531.23,7380.34,7305.22,7230.11,7155,,
XEROX,560162,152N11803,"HARNESS DocuColor 8000 Digital Press",4099.68,4017.97,3976.46,3935.61,3894.76,,
XEROX,560163,152N11804,"йюаекэ XEColor1000",127889.85,125332,124053.08,122774.15,121495.23,,
